"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000514309528796494,0.276863328250363,0.941,0.641,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102712755995948,"7","POMP"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000576691387633631,0.309088736841338,0.374,0.169,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115171037024312,"7","LAMTOR3"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000688379857734189,0.308499843348817,0.354,0.157,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137476341388095,"7","CCDC57"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000810398939590292,0.276756184338645,0.557,0.28,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161844772225577,"7","GID8"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103158143197396,0.290101327220086,0.981,0.772,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020601712777952,"7","PSME1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011916593326327,0.266678368169837,0.441,0.207,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000237986285320076,"7","EXOC7"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013694270198367,0.403923388633369,0.353,0.159,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273488270131588,"7","NFKBIE"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000152781946405703,0.46631058865654,0.276,0.113,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030512082516683,"7","IPO5"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166578289242419,0.304299611537811,0.431,0.207,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000332673501446036,"7","HIPK3"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000231856031309339,0.264334108847506,0.427,0.199,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000463039680127881,"7","TRPC4AP"
